City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-pierre,-21.3393,55.4781,24.82,73,20,0.0,RE,1701019405
1,albany,42.6001,-73.9662,5.65,58,96,1.34,US,1701018983
2,ilulissat,69.2167,-51.1,0.01,86,75,1.03,GL,1701019333
3,badger,64.8,-147.5333,-10.86,89,40,0.0,US,1701019252
4,grytviken,-54.2811,-36.5092,2.79,99,100,3.13,GS,1701019275
5,invercargill,-46.4,168.35,10.57,92,100,1.07,NZ,1701019297
6,st. john's,47.5649,-52.7093,2.21,74,100,5.14,CA,1701019255
7,iskateley,67.6803,53.1512,-17.21,96,100,1.34,RU,1701019299
8,rupert,42.6191,-113.6772,-11.03,92,100,2.57,US,1701019407
9,port-aux-francais,-49.35,70.2167,3.8,66,98,8.45,TF,1701019250
10,waitangi,-43.9535,-176.5597,13.79,97,42,0.45,NZ,1701019251
11,luanda,-8.8368,13.2343,28.0,78,40,5.66,AO,1701019328
12,olonkinbyen,70.9221,-8.7187,0.49,81,62,6.46,SJ,1701019294
13,nyurba,63.2842,118.3319,-15.8,94,100,3.56,RU,1701019408
14,enewetak,11.3474,162.3373,27.96,80,92,8.99,MH,1701019279
15,pagar alam,-4.0167,103.2667,20.6,98,100,1.19,ID,1701019409
16,bredasdorp,-34.5322,20.0403,20.98,59,21,3.75,ZA,1701019327
17,yellowknife,62.456,-114.3525,-15.33,89,100,3.09,CA,1701019259
18,yorkton,51.2167,-102.4677,-11.09,73,100,7.2,CA,1701019410
19,praia,14.9215,-23.5087,28.3,47,40,6.69,CV,1701019331
20,tabou,4.423,-7.3528,27.96,76,37,4.22,CI,1701019410
21,sitka,57.0531,-135.33,8.09,93,100,3.04,US,1701019317
22,cabo san lucas,22.8909,-109.9124,26.4,67,75,1.54,MX,1701019114
23,el calafate,-50.3408,-72.2768,9.18,43,27,5.86,AR,1701019362
24,chonchi,-42.6128,-73.8092,14.51,71,100,0.91,CL,1701019305
25,west island,-12.1568,96.8225,25.99,73,75,3.09,CC,1701019263
26,cascais,38.6979,-9.4215,16.95,74,75,6.26,PT,1701019412
27,gadzhiyevo,69.2551,33.3362,-10.58,93,99,2.75,RU,1701019342
28,puerto ayora,-0.7393,-90.3518,28.98,87,57,2.68,EC,1701019274
29,antsiranana,-12.2787,49.2917,26.0,79,100,5.78,MG,1701019412
30,papatowai,-46.5619,169.4708,9.9,91,100,0.97,NZ,1701019247
31,bethel,41.3712,-73.414,8.34,68,100,2.57,US,1701019249
32,isafjordur,66.0755,-23.124,2.02,93,75,1.03,IS,1701019253
33,port elizabeth,-33.918,25.5701,21.84,90,20,5.14,ZA,1701019257
34,ugoofaaru,5.6667,73.0,28.36,78,80,6.65,MV,1701019301
35,edinburgh of the seven seas,-37.0676,-12.3116,12.99,74,30,14.62,SH,1701019265
36,hovd,48.0056,91.6419,-7.2,70,11,1.23,MN,1701019414
37,puerto deseado,-47.7503,-65.8938,11.04,50,29,9.72,AR,1701019414
38,tateyama,34.9833,139.8667,9.5,80,30,1.61,JP,1701019415
39,anori,-3.7728,-61.6442,32.03,55,96,1.01,BR,1701019415
40,adamstown,-25.066,-130.1015,20.81,87,100,12.59,PN,1701019248
41,ormara,25.2088,64.6357,25.02,48,22,3.78,PK,1701019416
42,roma,43.2128,-75.4557,5.21,60,0,5.14,US,1701019416
43,utrik,11.2278,169.8474,27.89,74,32,9.36,MH,1701019347
44,san juan,-31.5375,-68.5364,33.48,20,3,2.89,AR,1701019138
45,tiksi,71.6872,128.8694,-21.08,100,100,2.52,RU,1701019279
